CompensationRequestErrorId,CompensationRequestId,ErrorId,Description,CreatedAt
1,1,3,Validation failed,2025-11-08
2,2,3,SMTP timeout,2024-05-26
3,3,3,CSV export format not supported,2026-05-28
4,4,2,Token expirado,2025-03-26
5,5,2,Token expirado,2026-06-11
6,6,2,Email inválido,2025-10-19
7,7,3,CSV export format not supported,2025-12-30
8,8,3,SMTP timeout,2026-04-19
9,9,2,Localidad inexistente,2026-01-21
10,10,1,Email inválido,2025-06-27
11,11,3,DbUpdateException,2024-07-26
12,12,3,SocialNetworkId inválido,2024-11-25
13,13,3,Validation failed,2026-01-21
14,14,3,SMTP timeout,2026-04-06
15,15,1,SMTP timeout,2026-05-04
16,16,2,Localidad inexistente,2025-03-30
17,17,2,CSV export format not supported,2024-04-15
18,18,3,DbUpdateException,2024-03-13
19,19,2,DbUpdateException,2025-10-03
20,20,3,CSV export format not supported,2025-09-09
21,21,2,DbUpdateException,2024-04-17
22,22,3,Email inválido,2024-03-26
23,23,1,Validation failed,2025-03-20
24,24,3,SocialNetworkId inválido,2024-04-20
25,25,3,Localidad inexistente,2025-11-19
26,26,3,Localidad inexistente,2026-06-03
27,27,3,CSV export format not supported,2024-12-02
28,28,3,CSV export format not supported,2024-09-11
29,29,3,Token expirado,2026-02-28
30,30,3,Token expirado,2024-12-26
31,31,1,Email inválido,2025-09-28
32,32,2,SMTP timeout,2026-04-05
33,33,3,SMTP timeout,2024-11-13
34,34,2,DbUpdateException,2024-04-05
35,35,3,DbUpdateException,2024-12-28
36,36,2,Localidad inexistente,2026-04-25
37,37,3,SMTP timeout,2026-06-15
38,38,3,Email inválido,2026-05-28
39,39,3,Token expirado,2025-08-12
40,40,2,Token expirado,2024-08-28
41,41,3,SocialNetworkId inválido,2026-03-14
42,42,2,CSV export format not supported,2025-12-19
43,43,2,Localidad inexistente,2025-03-24
44,44,1,SocialNetworkId inválido,2025-05-03
45,45,3,Validation failed,2025-09-04
46,46,2,SMTP timeout,2025-12-14
47,47,3,SocialNetworkId inválido,2025-09-16
48,48,1,SMTP timeout,2024-06-14
49,49,2,Validation failed,2024-04-01
50,50,1,SMTP timeout,2026-05-17
51,51,1,SocialNetworkId inválido,2024-07-07
52,52,3,Token expirado,2026-06-19
53,53,1,SocialNetworkId inválido,2024-11-30
54,54,2,Token expirado,2025-07-02
55,55,2,SocialNetworkId inválido,2024-06-01
56,56,1,CSV export format not supported,2024-07-03
57,57,2,SocialNetworkId inválido,2025-11-05
58,58,3,Validation failed,2024-05-24
59,59,3,SocialNetworkId inválido,2026-05-13
60,60,2,CSV export format not supported,2025-07-13
61,61,1,Token expirado,2025-01-21
62,62,3,Localidad inexistente,2025-05-24
63,63,2,Localidad inexistente,2026-02-04
64,64,3,Validation failed,2025-01-29
65,65,1,SMTP timeout,2025-12-16
66,66,1,Localidad inexistente,2026-01-01
67,67,3,SMTP timeout,2024-09-03
68,68,1,Validation failed,2024-06-08
69,69,3,Localidad inexistente,2026-06-18
70,70,2,Validation failed,2024-07-13
71,71,3,SMTP timeout,2025-12-07
72,72,3,DbUpdateException,2026-01-27
73,73,3,Email inválido,2025-08-06
74,74,2,SocialNetworkId inválido,2025-06-14
75,75,3,Validation failed,2024-03-26
76,76,3,Email inválido,2026-02-26
77,77,2,Token expirado,2024-12-15
78,78,2,SMTP timeout,2024-06-05
79,79,3,SMTP timeout,2026-06-11
80,80,2,SMTP timeout,2025-12-02
81,81,1,Localidad inexistente,2024-04-16
