CompensationRequestFieldId,CompensationRequestId,FieldName,FieldValue,CompensationRequestFieldStateId,CreatedAt
1,1,Feature,CreateSucursalCommandHandler,3,2025-11-08
2,1,SucursalId,203,3,2025-11-08
3,1,UserId,13,3,2025-11-08
4,1,ExceptionType,InvalidOperationException,3,2025-11-08
5,1,CorrelationId,115017-1,3,2025-11-08
6,2,Feature,CreateUserCommandHandler,3,2024-05-26
7,2,SucursalId,331,3,2024-05-26
8,2,UserId,102,3,2024-05-26
9,2,ExceptionType,SmtpException,3,2024-05-26
10,2,CorrelationId,607348-2,3,2024-05-26
11,3,Feature,EmailService.SendAsync,3,2026-05-28
12,3,SucursalId,465,3,2026-05-28
13,3,UserId,55,3,2026-05-28
14,3,ExceptionType,DbUpdateException,3,2026-05-28
15,3,CorrelationId,672396-3,3,2026-05-28
16,4,Feature,CreateLocalidadCommandHandler,3,2025-03-26
17,4,SucursalId,262,3,2025-03-26
18,4,UserId,48,3,2025-03-26
19,4,ExceptionType,DbUpdateException,3,2025-03-26
20,4,CorrelationId,946188-4,3,2025-03-26
21,5,Feature,BulkCreateSucursalesCommandHandler,3,2026-06-11
22,5,SucursalId,270,3,2026-06-11
23,5,UserId,133,3,2026-06-11
24,5,ExceptionType,DbUpdateException,3,2026-06-11
25,5,CorrelationId,547232-5,3,2026-06-11
26,6,Feature,BulkCreateSucursalesCommandHandler,3,2025-10-19
27,6,SucursalId,114,3,2025-10-19
28,6,UserId,118,3,2025-10-19
29,6,ExceptionType,ArgumentException,3,2025-10-19
30,6,CorrelationId,677204-6,3,2025-10-19
31,7,Feature,VerifyEmailCommandHandler,3,2025-12-30
32,7,SucursalId,567,3,2025-12-30
33,7,UserId,112,3,2025-12-30
34,7,ExceptionType,InvalidOperationException,3,2025-12-30
35,7,CorrelationId,516869-7,3,2025-12-30
36,8,Feature,CreateUserCommandHandler,3,2026-04-19
37,8,SucursalId,795,3,2026-04-19
38,8,UserId,57,3,2026-04-19
39,8,ExceptionType,ArgumentException,3,2026-04-19
40,8,CorrelationId,308328-8,3,2026-04-19
41,9,Feature,UpdateSucursalCommandHandler,3,2026-01-21
42,9,SucursalId,372,3,2026-01-21
43,9,UserId,137,3,2026-01-21
44,9,ExceptionType,InvalidOperationException,3,2026-01-21
45,9,CorrelationId,827391-9,3,2026-01-21
46,10,Feature,UpdateSucursalCommandHandler,3,2025-06-27
47,10,SucursalId,554,3,2025-06-27
48,10,UserId,39,3,2025-06-27
49,10,ExceptionType,SmtpException,3,2025-06-27
50,10,CorrelationId,999987-10,3,2025-06-27
51,11,Feature,EmailService.SendAsync,3,2024-07-26
52,11,SucursalId,535,3,2024-07-26
53,11,UserId,100,3,2024-07-26
54,11,ExceptionType,SmtpException,3,2024-07-26
55,11,CorrelationId,590737-11,3,2024-07-26
56,12,Feature,CreateSucursalCommandHandler,3,2024-11-25
57,12,SucursalId,726,3,2024-11-25
58,12,UserId,65,3,2024-11-25
59,12,ExceptionType,DbUpdateException,3,2024-11-25
60,12,CorrelationId,318895-12,3,2024-11-25
61,13,Feature,CreateSucursalCommandHandler,3,2026-01-21
62,13,SucursalId,148,3,2026-01-21
63,13,UserId,36,3,2026-01-21
64,13,ExceptionType,InvalidOperationException,3,2026-01-21
65,13,CorrelationId,901733-13,3,2026-01-21
66,14,Feature,EmailService.SendAsync,3,2026-04-06
67,14,SucursalId,401,3,2026-04-06
68,14,UserId,108,3,2026-04-06
69,14,ExceptionType,InvalidOperationException,3,2026-04-06
70,14,CorrelationId,360647-14,3,2026-04-06
71,15,Feature,VerifyEmailCommandHandler,3,2026-05-04
72,15,SucursalId,127,3,2026-05-04
73,15,UserId,103,3,2026-05-04
74,15,ExceptionType,InvalidOperationException,3,2026-05-04
75,15,CorrelationId,315829-15,3,2026-05-04
76,16,Feature,CreateLocalidadCommandHandler,3,2025-03-30
77,16,SucursalId,534,3,2025-03-30
78,16,UserId,31,3,2025-03-30
79,16,ExceptionType,DbUpdateException,3,2025-03-30
80,16,CorrelationId,649706-16,3,2025-03-30
81,17,Feature,CreateUserCommandHandler,3,2024-04-15
82,17,SucursalId,128,3,2024-04-15
83,17,UserId,77,3,2024-04-15
84,17,ExceptionType,SmtpException,3,2024-04-15
85,17,CorrelationId,261141-17,3,2024-04-15
86,18,Feature,CreateLocalidadCommandHandler,3,2024-03-13
87,18,SucursalId,391,3,2024-03-13
88,18,UserId,11,3,2024-03-13
89,18,ExceptionType,DbUpdateException,3,2024-03-13
90,18,CorrelationId,218318-18,3,2024-03-13
91,19,Feature,CompensationRequestExportQueryHandler,3,2025-10-03
92,19,SucursalId,536,3,2025-10-03
93,19,UserId,58,3,2025-10-03
94,19,ExceptionType,ArgumentException,3,2025-10-03
95,19,CorrelationId,867305-19,3,2025-10-03
96,20,Feature,CreateUserCommandHandler,3,2025-09-09
97,20,SucursalId,432,3,2025-09-09
98,20,UserId,111,3,2025-09-09
99,20,ExceptionType,ArgumentException,3,2025-09-09
100,20,CorrelationId,769054-20,3,2025-09-09
101,21,Feature,VerifyEmailCommandHandler,3,2024-04-17
102,21,SucursalId,337,3,2024-04-17
103,21,UserId,131,3,2024-04-17
104,21,ExceptionType,DbUpdateException,3,2024-04-17
105,21,CorrelationId,473986-21,3,2024-04-17
106,22,Feature,CompensationRequestExportQueryHandler,3,2024-03-26
107,22,SucursalId,507,3,2024-03-26
108,22,UserId,150,3,2024-03-26
109,22,ExceptionType,InvalidOperationException,3,2024-03-26
110,22,CorrelationId,719796-22,3,2024-03-26
111,23,Feature,CompensationRequestExportQueryHandler,3,2025-03-20
112,23,SucursalId,684,3,2025-03-20
113,23,UserId,133,3,2025-03-20
114,23,ExceptionType,ArgumentException,3,2025-03-20
115,23,CorrelationId,730888-23,3,2025-03-20
116,24,Feature,BulkCreateSucursalesCommandHandler,3,2024-04-20
117,24,SucursalId,783,3,2024-04-20
118,24,UserId,31,3,2024-04-20
119,24,ExceptionType,DbUpdateException,3,2024-04-20
120,24,CorrelationId,708302-24,3,2024-04-20
121,25,Feature,EmailService.SendAsync,3,2025-11-19
122,25,SucursalId,663,3,2025-11-19
123,25,UserId,89,3,2025-11-19
124,25,ExceptionType,SmtpException,3,2025-11-19
125,25,CorrelationId,701195-25,3,2025-11-19
126,26,Feature,EmailService.SendAsync,3,2026-06-03
127,26,SucursalId,581,3,2026-06-03
128,26,UserId,56,3,2026-06-03
129,26,ExceptionType,ArgumentException,3,2026-06-03
130,26,CorrelationId,761149-26,3,2026-06-03
131,27,Feature,CreateSucursalCommandHandler,3,2024-12-02
132,27,SucursalId,368,3,2024-12-02
133,27,UserId,65,3,2024-12-02
134,27,ExceptionType,DbUpdateException,3,2024-12-02
135,27,CorrelationId,469495-27,3,2024-12-02
136,28,Feature,CreateLocalidadCommandHandler,3,2024-09-11
137,28,SucursalId,788,3,2024-09-11
138,28,UserId,68,3,2024-09-11
139,28,ExceptionType,InvalidOperationException,3,2024-09-11
140,28,CorrelationId,685606-28,3,2024-09-11
141,29,Feature,EmailService.SendAsync,3,2026-02-28
142,29,SucursalId,512,3,2026-02-28
143,29,UserId,45,3,2026-02-28
144,29,ExceptionType,ArgumentException,3,2026-02-28
145,29,CorrelationId,449976-29,3,2026-02-28
146,30,Feature,CreateUserCommandHandler,3,2024-12-26
147,30,SucursalId,104,3,2024-12-26
148,30,UserId,79,3,2024-12-26
149,30,ExceptionType,SmtpException,3,2024-12-26
150,30,CorrelationId,428124-30,3,2024-12-26
151,31,Feature,EmailService.SendAsync,3,2025-09-28
152,31,SucursalId,725,3,2025-09-28
153,31,UserId,68,3,2025-09-28
154,31,ExceptionType,DbUpdateException,3,2025-09-28
155,31,CorrelationId,453371-31,3,2025-09-28
156,32,Feature,UpdateSucursalCommandHandler,3,2026-04-05
157,32,SucursalId,17,3,2026-04-05
158,32,UserId,83,3,2026-04-05
159,32,ExceptionType,InvalidOperationException,3,2026-04-05
160,32,CorrelationId,710110-32,3,2026-04-05
161,33,Feature,VerifyEmailCommandHandler,3,2024-11-13
162,33,SucursalId,634,3,2024-11-13
163,33,UserId,102,3,2024-11-13
164,33,ExceptionType,ArgumentException,3,2024-11-13
165,33,CorrelationId,308267-33,3,2024-11-13
166,34,Feature,EmailService.SendAsync,3,2024-04-05
167,34,SucursalId,734,3,2024-04-05
168,34,UserId,38,3,2024-04-05
169,34,ExceptionType,DbUpdateException,3,2024-04-05
170,34,CorrelationId,658710-34,3,2024-04-05
171,35,Feature,BulkCreateSucursalesCommandHandler,3,2024-12-28
172,35,SucursalId,85,3,2024-12-28
173,35,UserId,146,3,2024-12-28
174,35,ExceptionType,InvalidOperationException,3,2024-12-28
175,35,CorrelationId,564032-35,3,2024-12-28
176,36,Feature,VerifyEmailCommandHandler,3,2026-04-25
177,36,SucursalId,230,3,2026-04-25
178,36,UserId,127,3,2026-04-25
179,36,ExceptionType,InvalidOperationException,3,2026-04-25
180,36,CorrelationId,357269-36,3,2026-04-25
181,37,Feature,CreateUserCommandHandler,3,2026-06-15
182,37,SucursalId,304,3,2026-06-15
183,37,UserId,4,3,2026-06-15
184,37,ExceptionType,InvalidOperationException,3,2026-06-15
185,37,CorrelationId,121783-37,3,2026-06-15
186,38,Feature,EmailService.SendAsync,3,2026-05-28
187,38,SucursalId,191,3,2026-05-28
188,38,UserId,106,3,2026-05-28
189,38,ExceptionType,SmtpException,3,2026-05-28
190,38,CorrelationId,757724-38,3,2026-05-28
191,39,Feature,VerifyEmailCommandHandler,3,2025-08-12
192,39,SucursalId,442,3,2025-08-12
193,39,UserId,68,3,2025-08-12
194,39,ExceptionType,DbUpdateException,3,2025-08-12
195,39,CorrelationId,482221-39,3,2025-08-12
196,40,Feature,UpdateSucursalCommandHandler,3,2024-08-28
197,40,SucursalId,552,3,2024-08-28
198,40,UserId,64,3,2024-08-28
199,40,ExceptionType,InvalidOperationException,3,2024-08-28
200,40,CorrelationId,201314-40,3,2024-08-28
201,41,Feature,CreateLocalidadCommandHandler,3,2026-03-14
202,41,SucursalId,738,3,2026-03-14
203,41,UserId,59,3,2026-03-14
204,41,ExceptionType,DbUpdateException,3,2026-03-14
205,41,CorrelationId,852420-41,3,2026-03-14
206,42,Feature,CreateUserCommandHandler,3,2025-12-19
207,42,SucursalId,589,3,2025-12-19
208,42,UserId,69,3,2025-12-19
209,42,ExceptionType,SmtpException,3,2025-12-19
210,42,CorrelationId,748865-42,3,2025-12-19
211,43,Feature,UpdateSucursalCommandHandler,3,2025-03-24
212,43,SucursalId,460,3,2025-03-24
213,43,UserId,144,3,2025-03-24
214,43,ExceptionType,ArgumentException,3,2025-03-24
215,43,CorrelationId,464488-43,3,2025-03-24
216,44,Feature,CreateLocalidadCommandHandler,3,2025-05-03
217,44,SucursalId,584,3,2025-05-03
218,44,UserId,71,3,2025-05-03
219,44,ExceptionType,ArgumentException,3,2025-05-03
220,44,CorrelationId,848276-44,3,2025-05-03
221,45,Feature,UpdateSucursalCommandHandler,3,2025-09-04
222,45,SucursalId,678,3,2025-09-04
223,45,UserId,56,3,2025-09-04
224,45,ExceptionType,DbUpdateException,3,2025-09-04
225,45,CorrelationId,664548-45,3,2025-09-04
226,46,Feature,EmailService.SendAsync,3,2025-12-14
227,46,SucursalId,698,3,2025-12-14
228,46,UserId,139,3,2025-12-14
229,46,ExceptionType,DbUpdateException,3,2025-12-14
230,46,CorrelationId,107104-46,3,2025-12-14
231,47,Feature,BulkCreateSucursalesCommandHandler,3,2025-09-16
232,47,SucursalId,543,3,2025-09-16
233,47,UserId,17,3,2025-09-16
234,47,ExceptionType,SmtpException,3,2025-09-16
235,47,CorrelationId,865859-47,3,2025-09-16
236,48,Feature,UpdateSucursalCommandHandler,3,2024-06-14
237,48,SucursalId,665,3,2024-06-14
238,48,UserId,8,3,2024-06-14
239,48,ExceptionType,ArgumentException,3,2024-06-14
240,48,CorrelationId,447907-48,3,2024-06-14
241,49,Feature,EmailService.SendAsync,3,2024-04-01
242,49,SucursalId,714,3,2024-04-01
243,49,UserId,98,3,2024-04-01
244,49,ExceptionType,SmtpException,3,2024-04-01
245,49,CorrelationId,245237-49,3,2024-04-01
246,50,Feature,CreateLocalidadCommandHandler,3,2026-05-17
247,50,SucursalId,259,3,2026-05-17
248,50,UserId,111,3,2026-05-17
249,50,ExceptionType,SmtpException,3,2026-05-17
250,50,CorrelationId,195142-50,3,2026-05-17
251,51,Feature,CreateLocalidadCommandHandler,3,2024-07-07
252,51,SucursalId,463,3,2024-07-07
253,51,UserId,87,3,2024-07-07
254,51,ExceptionType,DbUpdateException,3,2024-07-07
255,51,CorrelationId,121391-51,3,2024-07-07
256,52,Feature,CreateSucursalCommandHandler,3,2026-06-19
257,52,SucursalId,173,3,2026-06-19
258,52,UserId,25,3,2026-06-19
259,52,ExceptionType,ArgumentException,3,2026-06-19
260,52,CorrelationId,104887-52,3,2026-06-19
261,53,Feature,CreateLocalidadCommandHandler,3,2024-11-30
262,53,SucursalId,194,3,2024-11-30
263,53,UserId,45,3,2024-11-30
264,53,ExceptionType,SmtpException,3,2024-11-30
265,53,CorrelationId,290617-53,3,2024-11-30
266,54,Feature,UpdateSucursalCommandHandler,3,2025-07-02
267,54,SucursalId,182,3,2025-07-02
268,54,UserId,147,3,2025-07-02
269,54,ExceptionType,InvalidOperationException,3,2025-07-02
270,54,CorrelationId,631972-54,3,2025-07-02
271,55,Feature,CreateSucursalCommandHandler,3,2024-06-01
272,55,SucursalId,299,3,2024-06-01
273,55,UserId,80,3,2024-06-01
274,55,ExceptionType,DbUpdateException,3,2024-06-01
275,55,CorrelationId,816211-55,3,2024-06-01
276,56,Feature,BulkCreateSucursalesCommandHandler,3,2024-07-03
277,56,SucursalId,618,3,2024-07-03
278,56,UserId,50,3,2024-07-03
279,56,ExceptionType,DbUpdateException,3,2024-07-03
280,56,CorrelationId,576752-56,3,2024-07-03
281,57,Feature,CompensationRequestExportQueryHandler,3,2025-11-05
282,57,SucursalId,68,3,2025-11-05
283,57,UserId,142,3,2025-11-05
284,57,ExceptionType,InvalidOperationException,3,2025-11-05
285,57,CorrelationId,483457-57,3,2025-11-05
286,58,Feature,CreateUserCommandHandler,3,2024-05-24
287,58,SucursalId,367,3,2024-05-24
288,58,UserId,11,3,2024-05-24
289,58,ExceptionType,SmtpException,3,2024-05-24
290,58,CorrelationId,950297-58,3,2024-05-24
291,59,Feature,BulkCreateSucursalesCommandHandler,3,2026-05-13
292,59,SucursalId,540,3,2026-05-13
293,59,UserId,83,3,2026-05-13
294,59,ExceptionType,SmtpException,3,2026-05-13
295,59,CorrelationId,893691-59,3,2026-05-13
296,60,Feature,UpdateSucursalCommandHandler,3,2025-07-13
297,60,SucursalId,300,3,2025-07-13
298,60,UserId,51,3,2025-07-13
299,60,ExceptionType,SmtpException,3,2025-07-13
300,60,CorrelationId,556276-60,3,2025-07-13
301,61,Feature,BulkCreateSucursalesCommandHandler,3,2025-01-21
302,61,SucursalId,496,3,2025-01-21
303,61,UserId,144,3,2025-01-21
304,61,ExceptionType,SmtpException,3,2025-01-21
305,61,CorrelationId,420756-61,3,2025-01-21
306,62,Feature,CreateSucursalCommandHandler,3,2025-05-24
307,62,SucursalId,92,3,2025-05-24
308,62,UserId,49,3,2025-05-24
309,62,ExceptionType,DbUpdateException,3,2025-05-24
310,62,CorrelationId,716006-62,3,2025-05-24
311,63,Feature,CreateLocalidadCommandHandler,3,2026-02-04
312,63,SucursalId,29,3,2026-02-04
313,63,UserId,137,3,2026-02-04
314,63,ExceptionType,ArgumentException,3,2026-02-04
315,63,CorrelationId,417661-63,3,2026-02-04
316,64,Feature,CreateSucursalCommandHandler,3,2025-01-29
317,64,SucursalId,537,3,2025-01-29
318,64,UserId,131,3,2025-01-29
319,64,ExceptionType,DbUpdateException,3,2025-01-29
320,64,CorrelationId,814220-64,3,2025-01-29
321,65,Feature,CompensationRequestExportQueryHandler,3,2025-12-16
322,65,SucursalId,730,3,2025-12-16
323,65,UserId,57,3,2025-12-16
324,65,ExceptionType,DbUpdateException,3,2025-12-16
325,65,CorrelationId,176507-65,3,2025-12-16
326,66,Feature,CreateSucursalCommandHandler,3,2026-01-01
327,66,SucursalId,211,3,2026-01-01
328,66,UserId,98,3,2026-01-01
329,66,ExceptionType,DbUpdateException,3,2026-01-01
330,66,CorrelationId,104968-66,3,2026-01-01
331,67,Feature,CreateLocalidadCommandHandler,3,2024-09-03
332,67,SucursalId,234,3,2024-09-03
333,67,UserId,100,3,2024-09-03
334,67,ExceptionType,SmtpException,3,2024-09-03
335,67,CorrelationId,146930-67,3,2024-09-03
336,68,Feature,VerifyEmailCommandHandler,3,2024-06-08
337,68,SucursalId,728,3,2024-06-08
338,68,UserId,147,3,2024-06-08
339,68,ExceptionType,DbUpdateException,3,2024-06-08
340,68,CorrelationId,314828-68,3,2024-06-08
341,69,Feature,EmailService.SendAsync,3,2026-06-18
342,69,SucursalId,424,3,2026-06-18
343,69,UserId,107,3,2026-06-18
344,69,ExceptionType,DbUpdateException,3,2026-06-18
345,69,CorrelationId,983566-69,3,2026-06-18
346,70,Feature,CreateSucursalCommandHandler,3,2024-07-13
347,70,SucursalId,713,3,2024-07-13
348,70,UserId,11,3,2024-07-13
349,70,ExceptionType,InvalidOperationException,3,2024-07-13
350,70,CorrelationId,795167-70,3,2024-07-13
351,71,Feature,BulkCreateSucursalesCommandHandler,3,2025-12-07
352,71,SucursalId,69,3,2025-12-07
353,71,UserId,126,3,2025-12-07
354,71,ExceptionType,DbUpdateException,3,2025-12-07
355,71,CorrelationId,275496-71,3,2025-12-07
356,72,Feature,EmailService.SendAsync,3,2026-01-27
357,72,SucursalId,294,3,2026-01-27
358,72,UserId,138,3,2026-01-27
359,72,ExceptionType,DbUpdateException,3,2026-01-27
360,72,CorrelationId,997065-72,3,2026-01-27
361,73,Feature,EmailService.SendAsync,3,2025-08-06
362,73,SucursalId,569,3,2025-08-06
363,73,UserId,23,3,2025-08-06
364,73,ExceptionType,InvalidOperationException,3,2025-08-06
365,73,CorrelationId,233289-73,3,2025-08-06
366,74,Feature,BulkCreateSucursalesCommandHandler,3,2025-06-14
367,74,SucursalId,39,3,2025-06-14
368,74,UserId,59,3,2025-06-14
369,74,ExceptionType,SmtpException,3,2025-06-14
370,74,CorrelationId,293439-74,3,2025-06-14
371,75,Feature,CreateUserCommandHandler,3,2024-03-26
372,75,SucursalId,449,3,2024-03-26
373,75,UserId,95,3,2024-03-26
374,75,ExceptionType,SmtpException,3,2024-03-26
375,75,CorrelationId,726001-75,3,2024-03-26
376,76,Feature,CreateUserCommandHandler,3,2026-02-26
377,76,SucursalId,45,3,2026-02-26
378,76,UserId,82,3,2026-02-26
379,76,ExceptionType,ArgumentException,3,2026-02-26
380,76,CorrelationId,260128-76,3,2026-02-26
381,77,Feature,UpdateSucursalCommandHandler,3,2024-12-15
382,77,SucursalId,206,3,2024-12-15
383,77,UserId,119,3,2024-12-15
384,77,ExceptionType,SmtpException,3,2024-12-15
385,77,CorrelationId,498494-77,3,2024-12-15
386,78,Feature,CreateUserCommandHandler,3,2024-06-05
387,78,SucursalId,344,3,2024-06-05
388,78,UserId,50,3,2024-06-05
389,78,ExceptionType,SmtpException,3,2024-06-05
390,78,CorrelationId,126539-78,3,2024-06-05
391,79,Feature,VerifyEmailCommandHandler,3,2026-06-11
392,79,SucursalId,561,3,2026-06-11
393,79,UserId,37,3,2026-06-11
394,79,ExceptionType,ArgumentException,3,2026-06-11
395,79,CorrelationId,216775-79,3,2026-06-11
396,80,Feature,CreateSucursalCommandHandler,3,2025-12-02
397,80,SucursalId,380,3,2025-12-02
398,80,UserId,83,3,2025-12-02
399,80,ExceptionType,ArgumentException,3,2025-12-02
400,80,CorrelationId,250456-80,3,2025-12-02
401,81,Feature,CreateSucursalCommandHandler,3,2024-04-16
402,81,SucursalId,788,3,2024-04-16
403,81,UserId,100,3,2024-04-16
404,81,ExceptionType,ArgumentException,3,2024-04-16
405,81,CorrelationId,998632-81,3,2024-04-16
406,82,Feature,BulkCreateSucursalesCommandHandler,3,2024-08-17
407,82,SucursalId,586,3,2024-08-17
408,82,UserId,122,3,2024-08-17
409,82,ExceptionType,DbUpdateException,3,2024-08-17
410,82,CorrelationId,818914-82,3,2024-08-17
411,83,Feature,CreateUserCommandHandler,3,2025-09-22
412,83,SucursalId,354,3,2025-09-22
413,83,UserId,65,3,2025-09-22
414,83,ExceptionType,SmtpException,3,2025-09-22
415,83,CorrelationId,260576-83,3,2025-09-22
416,84,Feature,UpdateSucursalCommandHandler,3,2025-04-10
417,84,SucursalId,398,3,2025-04-10
418,84,UserId,45,3,2025-04-10
419,84,ExceptionType,InvalidOperationException,3,2025-04-10
420,84,CorrelationId,485957-84,3,2025-04-10
421,85,Feature,UpdateSucursalCommandHandler,3,2026-01-27
422,85,SucursalId,421,3,2026-01-27
423,85,UserId,118,3,2026-01-27
424,85,ExceptionType,InvalidOperationException,3,2026-01-27
425,85,CorrelationId,521769-85,3,2026-01-27
426,86,Feature,EmailService.SendAsync,3,2024-05-08
427,86,SucursalId,472,3,2024-05-08
428,86,UserId,107,3,2024-05-08
429,86,ExceptionType,SmtpException,3,2024-05-08
