CompensationRequestId,UserId,SucursalId,CompensationRequestStateId,Observations,ErrorId,ErrorMessage,ErrorDetails,CreatedAt,ClosedAt,IsOpen
1,13,203,1,CreateSucursalCommandHandler - incidente simulado 1,3,Validation failed,CreateSucursalCommandHandler: Validation failed. RunId MOCK-1,2025-11-08,,1
2,102,331,2,CreateUserCommandHandler - incidente simulado 2,3,SMTP timeout,CreateUserCommandHandler: SMTP timeout. RunId MOCK-2,2024-05-26,2024-05-27,0
3,55,465,1,EmailService.SendAsync - incidente simulado 3,3,CSV export format not supported,EmailService.SendAsync: CSV export format not supported. RunId MOCK-3,2026-05-28,,1
4,48,262,1,CreateLocalidadCommandHandler - incidente simulado 4,2,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-4,2025-03-26,,1
5,133,270,2,BulkCreateSucursalesCommandHandler - incidente simulado 5,2,Token expirado,BulkCreateSucursalesCommandHandler: Token expirado. RunId MOCK-5,2026-06-11,2026-06-14,0
6,118,114,1,BulkCreateSucursalesCommandHandler - incidente simulado 6,2,Email inválido,BulkCreateSucursalesCommandHandler: Email inválido. RunId MOCK-6,2025-10-19,,1
7,112,567,2,VerifyEmailCommandHandler - incidente simulado 7,3,CSV export format not supported,VerifyEmailCommandHandler: CSV export format not supported. RunId MOCK-7,2025-12-30,2026-01-02,0
8,57,795,4,CreateUserCommandHandler - incidente simulado 8,3,SMTP timeout,CreateUserCommandHandler: SMTP timeout. RunId MOCK-8,2026-04-19,,1
9,137,372,3,UpdateSucursalCommandHandler - incidente simulado 9,2,Localidad inexistente,UpdateSucursalCommandHandler: Localidad inexistente. RunId MOCK-9,2026-01-21,2026-02-08,0
10,39,554,1,UpdateSucursalCommandHandler - incidente simulado 10,1,Email inválido,UpdateSucursalCommandHandler: Email inválido. RunId MOCK-10,2025-06-27,,1
11,100,535,2,EmailService.SendAsync - incidente simulado 11,3,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-11,2024-07-26,2024-08-09,0
12,65,726,1,CreateSucursalCommandHandler - incidente simulado 12,3,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-12,2024-11-25,,1
