DistribuidorId,NombreDistribuidor,Email,Telefono,CreatedAt,IsDeleted
1,Distribuidor 001,dist1@partner.local,+54 9 421 350280,2026-01-03,0
2,Distribuidor 002,dist2@partner.local,+54 9 787 776856,2024-05-14,0
3,Distribuidor 003,dist3@partner.local,+54 9 869 176066,2024-11-19,1
4,Distribuidor 004,dist4@partner.local,+54 9 676 204837,2025-09-28,0
5,Distribuidor 005,dist5@partner.local,+54 9 618 378082,2024-08-06,0
6,Distribuidor 006,dist6@partner.local,+54 9 170 356150,2024-12-23,0
7,Distribuidor 007,dist7@partner.local,+54 9 548 974244,2024-06-10,0
8,Distribuidor 008,dist8@partner.local,+54 9 726 946305,2024-11-05,0
9,Distribuidor 009,dist9@partner.local,+54 9 783 956795,2024-01-09,0
10,Distribuidor 010,dist10@partner.local,+54 9 206 240814,2025-11-10,0
11,Distribuidor 011,dist11@partner.local,+54 9 209 878480,2026-06-30,0
12,Distribuidor 012,dist12@partner.local,+54 9 388 734210,2024-10-05,0
13,Distribuidor 013,dist13@partner.local,+54 9 308 820892,2024-12-17,0
14,Distribuidor 014,dist14@partner.local,+54 9 617 612262,2024-09-27,0
15,Distribuidor 015,dist15@partner.local,+54 9 152 196781,2026-05-16,0
16,Distribuidor 016,dist16@partner.local,+54 9 383 146228,2026-04-29,1
17,Distribuidor 017,dist17@partner.local,+54 9 233 768061,2026-02-28,0
18,Distribuidor 018,dist18@partner.local,+54 9 859 563298,2024-06-14,0
19,Distribuidor 019,dist19@partner.local,+54 9 674 110139,2025-03-13,0
20,Distribuidor 020,dist20@partner.local,+54 9 807 256294,2026-06-23,0
21,Distribuidor 021,dist21@partner.local,+54 9 478 710805,2026-05-04,0
22,Distribuidor 022,dist22@partner.local,+54 9 230 143860,2025-03-16,0
23,Distribuidor 023,dist23@partner.local,+54 9 981 141832,2026-03-26,0
24,Distribuidor 024,dist24@partner.local,+54 9 798 361650,2024-08-03,0
25,Distribuidor 025,dist25@partner.local,+54 9 898 687080,2024-12-28,0
