MonitoringId,UserId,AffectedTable,MonitoringActionId,Ip,CorrelationId,CreatedAt
1,115,DISTRIBUIDORES,2,10.221.12.64,corr-853183,2025-03-02
2,57,MAILS,1,10.9.16.168,corr-948293,2025-12-03
3,23,SUCURSALES,2,10.184.79.123,corr-389669,2025-12-16
4,37,COMPENSATION_REQUESTS,2,10.62.125.52,corr-162025,2026-02-14
5,135,SUCURSALES,6,10.28.61.194,corr-675290,2025-09-15
6,91,VERIFICATION_TOKENS,1,10.96.232.250,corr-411725,2026-06-05
7,107,SUCURSALES,5,10.9.12.238,corr-269267,2024-04-19
8,69,LOCALIDADES,2,10.175.197.19,corr-963354,2025-03-09
9,66,LOCALIDADES,2,10.66.15.99,corr-257806,2025-06-18
10,117,DISTRIBUIDORES,4,10.66.15.215,corr-268642,2026-06-03
11,50,SUCURSALES,2,10.219.178.204,corr-433400,2026-02-07
12,138,SUCURSALES,1,10.146.31.60,corr-108673,2024-06-01
13,120,SUCURSALES,6,10.59.200.213,corr-927410,2024-06-27
14,105,LOCALIDADES,2,10.234.77.49,corr-726521,2024-03-05
15,78,MAILS,4,10.54.187.176,corr-139058,2024-01-16
16,54,COMPENSATION_REQUESTS,1,10.102.176.18,corr-372882,2025-03-30
17,119,SUCURSALES,1,10.204.188.138,corr-390604,2025-03-22
18,83,LOCALIDADES,3,10.153.234.105,corr-286852,2025-07-03
19,60,DISTRIBUIDORES,2,10.145.199.240,corr-607906,2024-01-02
20,48,MAILS,2,10.55.244.101,corr-933724,2024-08-05
21,36,SUCURSALES,2,10.215.155.185,corr-187785,2024-05-03
22,93,LOCALIDADES,1,10.185.61.75,corr-466586,2025-05-07
23,6,DISTRIBUIDORES,4,10.63.92.150,corr-713630,2025-07-20
24,3,DISTRIBUIDORES,6,10.55.28.44,corr-496841,2025-08-06
25,11,DISTRIBUIDORES,5,10.6.52.155,corr-710833,2024-09-08
26,70,SUCURSALES,2,10.126.156.1,corr-322728,2024-01-31
27,116,LOCALIDADES,1,10.243.33.232,corr-659019,2025-09-07
28,125,COMPENSATION_REQUESTS,2,10.24.97.67,corr-429680,2026-04-16
29,129,DISTRIBUIDORES,2,10.86.22.44,corr-362356,2024-02-26
30,73,LOCALIDADES,5,10.106.241.75,corr-289424,2024-09-15
31,131,DISTRIBUIDORES,2,10.113.4.80,corr-998287,2024-06-01
32,53,SUCURSALES,1,10.82.100.62,corr-276726,2025-10-21
33,18,MAILS,1,10.111.196.229,corr-767433,2024-04-02
34,120,SUCURSALES,4,10.88.126.88,corr-540460,2025-06-10
35,50,MAILS,1,10.210.50.73,corr-614480,2024-04-12
