SucursalRatingId,SucursalId,UserId,Score,CreatedAt,UpdatedAt
1,1,9,5,2025-04-25,2025-04-25
2,1,10,5,2025-08-16,2025-08-16
3,1,20,4,2026-03-13,2026-03-13
4,1,43,4,2025-06-28,2025-06-28
5,1,58,4,2025-07-08,2025-10-08
6,1,60,4,2026-04-20,2026-04-20
7,1,62,4,2025-07-01,2025-07-01
8,1,63,5,2025-07-19,2025-07-19
9,1,66,4,2025-07-09,2025-07-09
10,1,74,5,2026-02-19,2026-02-19
11,1,89,4,2025-03-23,2025-03-23
12,1,91,4,2025-02-27,2025-02-27
13,1,100,4,2025-08-07,2025-08-07
14,1,107,4,2026-04-11,2026-04-11
15,1,118,1,2026-02-15,2026-02-15
16,1,134,5,2025-08-14,2025-11-29
17,1,136,4,2025-10-07,2025-10-07
18,1,137,4,2025-09-30,2025-09-30
19,1,146,5,2025-02-11,2025-02-11
20,1,150,5,2025-10-03,2025-10-03
21,2,10,1,2026-01-17,2026-01-17
22,2,21,3,2025-12-05,2025-12-05
23,2,39,3,2025-11-24,2025-11-24
24,2,46,2,2025-09-25,2025-11-01
25,2,136,4,2026-02-24,2026-02-24
26,3,11,4,2026-04-26,2026-07-11
27,3,15,3,2026-02-11,2026-02-11
28,3,23,2,2026-03-20,2026-03-20
29,3,34,4,2026-05-20,2026-05-20
30,3,65,4,2026-02-23,2026-02-23
31,3,69,3,2026-05-15,2026-07-11
32,3,86,3,2026-02-24,2026-02-24
33,3,101,4,2026-05-23,2026-05-23
34,3,139,4,2026-06-19,2026-06-19
35,3,142,4,2026-02-24,2026-02-24
36,3,145,4,2026-05-02,2026-07-11
37,4,3,3,2026-04-03,2026-04-03
38,4,5,1,2026-03-19,2026-03-19
39,4,12,3,2025-07-29,2025-07-29
40,4,40,3,2025-05-16,2025-05-16
41,4,45,3,2026-03-01,2026-03-01
42,4,86,3,2026-06-29,2026-06-29
43,5,2,5,2025-09-11,2025-09-11
44,5,7,4,2025-09-27,2025-09-27
45,5,11,4,2026-03-21,2026-03-21
46,5,20,3,2025-04-03,2025-04-05
47,5,21,5,2025-11-15,2025-11-15
48,5,34,1,2025-10-09,2025-10-09
49,5,39,3,2025-10-11,2025-10-11
50,5,41,5,2026-05-30,2026-07-11
51,5,42,3,2025-07-18,2025-09-28
52,5,46,3,2025-10-15,2025-10-15
53,5,49,3,2025-12-09,2025-12-09
54,5,56,4,2025-02-10,2025-02-10
55,5,63,3,2025-08-29,2025-08-29
56,5,66,3,2026-02-24,2026-02-24
57,5,69,4,2025-11-13,2025-11-13
58,5,75,4,2025-10-29,2025-10-29
59,5,76,4,2025-09-09,2025-09-09
60,5,80,5,2025-04-17,2025-04-17
61,5,82,3,2025-04-04,2025-04-04
62,5,83,3,2025-03-02,2025-03-02
63,5,85,4,2025-08-10,2025-08-10
64,5,87,4,2026-02-17,2026-02-17
65,5,91,3,2026-04-02,2026-04-02
66,5,92,4,2025-11-12,2026-02-27
67,5,98,5,2025-03-22,2025-03-22
68,5,99,5,2025-05-23,2025-05-23
69,5,108,4,2025-02-15,2025-02-15
70,5,117,4,2025-05-26,2025-05-26
71,5,119,5,2025-02-25,2025-02-25
72,5,126,3,2026-02-13,2026-02-13
73,5,127,4,2025-11-30,2025-11-30
74,5,132,4,2026-05-01,2026-05-01
75,5,134,3,2026-06-17,2026-06-17
76,5,142,4,2026-01-12,2026-01-12
77,5,144,1,2025-10-31,2025-10-31
78,5,148,4,2025-03-12,2025-03-12
79,6,3,5,2026-03-04,2026-03-04
80,6,10,4,2025-02-07,2025-02-07
81,6,52,4,2026-05-30,2026-05-30
82,6,87,4,2026-06-18,2026-06-18
83,6,107,3,2025-11-19,2025-11-19
84,6,109,5,2025-03-22,2025-03-22
85,6,130,3,2026-03-01,2026-03-01
86,6,146,3,2025-04-04,2025-04-04
87,7,8,4,2025-09-25,2025-09-25
88,7,13,4,2025-06-03,2025-06-03
89,7,15,5,2026-01-19,2026-05-04
90,7,70,5,2025-07-21,2025-09-19
91,7,79,5,2025-09-06,2025-09-06
92,7,101,3,2026-04-25,2026-04-25
93,7,103,4,2026-03-22,2026-03-22
94,7,118,4,2026-01-01,2026-01-01
95,7,120,4,2025-10-28,2025-12-28
96,7,125,3,2025-09-27,2025-09-27
97,7,135,4,2026-03-30,2026-04-25
98,7,146,4,2026-05-14,2026-05-14
99,7,147,5,2025-12-09,2025-12-09
100,8,96,3,2026-05-31,2026-05-31
101,9,1,3,2026-03-26,2026-03-26
102,9,2,4,2025-03-01,2025-03-01
103,9,6,3,2025-11-30,2025-11-30
104,9,12,2,2025-01-25,2025-01-25
105,9,18,3,2026-03-28,2026-07-08
106,9,30,4,2025-07-18,2025-07-18
107,9,36,4,2025-03-16,2025-03-16
108,9,43,3,2025-05-11,2025-05-11
109,9,46,2,2025-08-07,2025-08-07
110,9,49,4,2026-02-17,2026-04-04
111,9,50,4,2025-10-18,2025-10-18
112,9,53,3,2025-10-29,2025-10-29
113,9,62,2,2025-07-26,2025-07-26
114,9,71,2,2025-12-12,2025-12-12
115,9,77,3,2025-03-20,2025-05-18
116,9,85,3,2026-01-10,2026-01-10
117,9,94,3,2026-04-30,2026-04-30
118,9,97,3,2026-01-18,2026-01-18
119,9,115,1,2025-03-09,2025-04-22
120,9,117,3,2026-02-21,2026-02-21
121,9,118,3,2025-04-30,2025-04-30
122,9,124,4,2025-09-23,2025-09-23
123,9,136,2,2026-04-09,2026-04-09
124,9,137,4,2026-01-19,2026-01-19
125,9,138,3,2025-12-11,2025-12-11
126,9,148,2,2025-02-14,2025-02-14
127,9,150,3,2026-06-07,2026-06-07
128,10,62,3,2025-05-03,2025-05-03
129,12,17,3,2025-07-27,2025-07-27
130,12,38,3,2025-03-21,2025-03-21
131,12,47,5,2025-08-12,2025-08-12
132,12,53,3,2025-11-06,2026-02-06
133,12,58,4,2025-06-30,2025-06-30
134,12,61,4,2025-11-02,2025-11-02
135,12,75,5,2026-02-12,2026-02-12
136,12,77,4,2025-04-20,2025-04-20
137,12,81,4,2025-12-10,2025-12-10
138,12,85,4,2025-04-19,2025-04-19
139,12,116,1,2025-05-20,2025-05-20
140,12,127,5,2026-02-22,2026-02-22
141,12,130,4,2026-06-28,2026-06-28
142,12,138,5,2025-08-05,2025-08-05
143,13,44,4,2026-05-24,2026-05-24
144,14,12,3,2025-09-07,2025-09-07
145,14,20,5,2025-11-12,2025-11-12
146,14,38,4,2025-10-01,2025-10-01
147,14,56,5,2025-05-15,2025-07-16
148,15,5,3,2026-02-02,2026-02-02
149,15,18,2,2025-08-15,2025-08-15
150,15,80,4,2025-12-13,2025-12-13
151,15,114,4,2025-09-25,2025-09-25
152,15,122,3,2026-01-15,2026-01-15
153,16,75,5,2025-07-21,2025-07-21
154,16,113,4,2026-01-13,2026-01-13
